"CI_INV_ID"	"ASSET_DESC_ID"	"PURCHASE_OR_RENTAL"	"UNIQUE_ID"	"CI_ACQUIRED_DATE"	"CI_STATUS_CODE"	"CI_STATUS_DATE"
203	122	"PURCHASE"	"License Key: VY236-PV6L9-W4JF7-62IFV"	26-AUG-2022 10:35:04 AM	"INUSE   "	28-AUG-2022 01:14:52 PM
204	122	"PURCHASE"	"License Key: SU4O4-FD8K2-9UWU7-V62FV"	26-AUG-2022 10:35:23 AM	"UNAVAIL "	01-SEP-2022 10:17:38 AM
205	122	"PURCHASE"	"License Key: TKE24-OEI42-LWUG7-24YJR"	26-AUG-2022 10:35:53 AM	"UNAVAIL "	26-AUG-2022 10:00:00 AM
90	30	"PURCHASE"	"Serial No. DEXO3PZ03"	03-SEP-2022 07:23:30 AM	"AVAIL   "	03-SEP-2022 10:07:23 AM
91	30	"PURCHASE"	"Serial No. DEXO3PZ04"	03-SEP-2022 07:30:28 AM	"INUSE   "	04-SEP-2022 11:01:13 AM
92	30	"PURCHASE"	"Serial No. DEXO3PZ05"	03-SEP-2022 07:42:52 AM	"DISPOSED"	11-SEP-2022 06:03:03 PM
79	3005	"PURCHASE"	"Serial NO 987651167"	22-JUN-2022 08:53:35 AM	"INUSE   "	22-JUN-2022 08:53:35 AM
224	131	"PURCHASE"	"Serial No. 54245423"	07-SEP-2021 08:00:00 AM	"INUSE   "	07-SEP-2021 08:00:00 AM
225	131	"PURCHASE"	"Serial No. 54245433"	07-SEP-2021 08:00:00 AM	"UNAVAIL "	07-SEP-2021 08:00:00 AM
226	131	"PURCHASE"	"Serial No. 54245443"	07-SEP-2021 08:00:00 AM	"DISPOSED"	08-SEP-2021 08:00:00 AM
230	118	"PURCHASE"	"Serial No. 23382410"	24-AUG-2022 09:33:03 AM	"DISPOSED"	09-SEP-2022 08:30:03 AM
257	177	"PURCHASE"	"Serial No.8765920"	10-OCT-2022 08:01:00 AM	"INUSE   "	10-OCT-2022 09:10:00 AM
258	177	"PURCHASE"	"Serial No.9729502"	10-OCT-2022 08:01:00 AM	"UNAVAIL "	10-OCT-2022 09:10:00 AM
259	177	"PURCHASE"	"Serial No.67929732"	10-OCT-2022 08:01:00 AM	"UNAVAIL "	10-OCT-2022 09:10:00 AM
396	300	"PURCHASE"	"Serial No. 000103457"	04-JAN-2022 10:18:55 AM	"INUSE   "	04-JAN-2022 10:22:55 AM
358	199	"PURCHASE"	"Serial No.454125005-A"	09-SEP-2022 12:00:00 AM	"DISPOSED"	10-SEP-2022 12:00:00 AM
366	188	"PURCHASE"	"Serial No. 339081927"	13-JUL-2022 12:00:00 AM	"INUSE   "	13-JUL-2022 12:00:00 AM
397	300	"PURCHASE"	"Serial No. 000103651"	04-JAN-2022 10:18:55 AM	"DISPOSED"	04-JAN-2022 10:22:55 AM
367	188	"PURCHASE"	"Serial No. 339081927"	13-JUL-2022 12:00:00 AM	"INUSE   "	15-JUL-2022 12:00:00 AM
368	188	"PURCHASE"	"Serial No. 339081927"	13-JUL-2022 12:00:00 AM	"INREPAIR"	13-JUL-2022 12:00:00 AM
271	182	"PURCHASE"	"Serial No. 123456"	08-SEP-2022 04:30:22 AM	"INUSE   "	08-SEP-2022 04:30:30 AM
272	183	"PURCHASE"	"Serial No. 123457"	08-SEP-2022 04:30:22 AM	"INUSE   "	08-SEP-2022 04:30:30 AM
273	184	"PURCHASE"	"Serial No. 123458"	08-SEP-2022 04:30:22 AM	"INREPAIR"	08-SEP-2022 04:30:30 AM
410	654	"PURCHASE"	"Serial No. 9938301"	07-JUL-2022 12:00:00 AM	"INUSE   "	07-JUL-2022 12:00:00 AM
411	654	"PURCHASE"	"Serial No. 9938302"	08-JUL-2022 12:00:00 AM	"AVAIL   "	08-JUL-2022 12:00:00 AM
412	654	"PURCHASE"	"Serial No. 9938303"	08-JUL-2022 12:00:00 AM	"AVAIL   "	09-AUG-2022 12:00:00 AM
371	203	"PURCHASE"	"Serial No. 542642574"	02-SEP-2022 10:22:00 AM	"INUSE   "	02-SEP-2022 10:22:00 AM
68	35	"PURCHASE"	"Serial No. CN-0 68MCF -74261-55N-07AL"	30-AUG-2022 09:03:24 AM	"INUSE   "	02-SEP-2022 12:20:00 PM
374	205	"PURCHASE"	"Serial No. 273612"	08-SEP-2022 10:30:00 AM	"INUSE   "	28-SEP-2022 10:30:00 AM
69	35	"PURCHASE"	"Serial No. CN-0 69KCF -52761-54N-07OP"	30-AUG-2022 09:11:14 AM	"DISPOSED"	04-SEP-2022 07:05:01 PM
376	203	"PURCHASE"	"Serial No. 862444590"	02-SEP-2022 10:22:00 AM	"DISPOSED"	02-SEP-2022 10:22:00 AM
70	35	"PURCHASE"	"Serial No. CN-0 45MCF -52333-54N-89PO"	30-AUG-2022 09:24:24 AM	"AVAIL   "	01-SEP-2022 12:59:00 PM
378	203	"PURCHASE"	"Serial No. 460955256"	02-SEP-2022 10:22:00 AM	"UNAVAIL "	02-SEP-2022 10:22:00 AM
402	197	"PURCHASE"	"Serial No. 0113"	01-AUG-2021 12:00:00 AM	"INUSE   "	01-AUG-2021 12:00:00 AM
991	1618	"PURCHASE"	"Serial No. 98986453"	20-MAY-2022 01:12:34 PM	"INUSE   "	20-MAY-2022 01:12:34 PM
992	879	"PURCHASE"	"Serial No. 98986454"	20-MAY-2022 01:12:34 PM	"INUSE   "	20-MAY-2022 01:12:34 PM
405	124	"PURCHASE"	"License Key: M7G85-AC78J-H4G1D-ZA769-K38L2"	12-MAR-2022 12:07:41 PM	"INUSE   "	14-MAR-2022 01:46:42 PM
993	880	"PURCHASE"	"Serial No. 98986455"	20-MAY-2022 01:12:34 PM	"INUSE   "	20-MAY-2022 01:12:34 PM
331	567	"PURCHASE"	"Serial No. 14920192"	04-SEP-2022 12:00:00 AM	"UNAVAIL "	06-SEP-2022 12:00:00 AM
332	568	"PURCHASE"	"Serial No. 14920460"	04-SEP-2022 12:00:00 AM	"DISPOSED"	06-SEP-2022 12:00:00 AM
392	199	"PURCHASE"	"Serial No. 339784824-B"	10-SEP-2022 12:00:00 AM	"DISPOSED"	10-SEP-2022 12:00:00 AM
394	199	"PURCHASE"	"Serial No. 540024412-C"	11-SEP-2022 12:00:00 AM	"AVAIL   "	11-SEP-2022 12:00:00 AM
399	300	"PURCHASE"	"Serial No. 000103892"	04-JAN-2022 10:18:55 AM	"AVAIL   "	04-JAN-2022 10:22:55 AM
406	124	"PURCHASE"	"License Key: W7E05-N218P-D8G1W-XC433-Q46V5"	12-MAR-2022 01:29:49 PM	"INREPAIR"	08-AUG-2022 02:47:53 PM
333	569	"PURCHASE"	"Serial No. 14920312 "	04-SEP-2022 12:00:00 AM	"UNAVAIL "	06-SEP-2022 12:00:00 AM
782	901	"PURCHASE"	"Serial No. 56239801"	08-SEP-2022 12:00:00 AM	"INUSE   "	08-SEP-2022 12:00:00 AM
472	248	"PURCHASE"	"Serial No. 231744893"	22-AUG-2022 08:53:35 PM	"DISPOSED"	22-AUG-2022 08:53:35 PM
473	249	"PURCHASE"	"Serial No. 341546853"	22-AUG-2022 08:53:35 PM	"INUSE   "	22-AUG-2022 08:53:35 PM
474	250	"PURCHASE"	"Serial No. 435544763"	22-AUG-2022 08:53:35 PM	"AVAIL   "	22-AUG-2022 08:53:35 PM
783	901	"PURCHASE"	"Serial No. 56239802"	08-SEP-2022 12:00:00 AM	"DISPOSED"	08-SEP-2022 12:00:00 AM
784	901	"PURCHASE"	"Serial No. 56239803"	08-SEP-2022 12:00:00 AM	"UNAVAIL "	08-SEP-2022 12:00:00 AM
1511	530	"PURCHASE"	"Serial No.85500015 "	18-AUG-2022 12:00:00 AM	"UNAVAIL "	18-AUG-2022 12:00:00 AM
1512	530	"PURCHASE"	"Serial No.85500033"	18-AUG-2022 12:00:00 AM	"DISPOSED"	18-AUG-2022 12:00:00 AM
1513	530	"PURCHASE"	"Serial No.85500058"	18-AUG-2022 12:00:00 AM	"UNAVAIL "	18-AUG-2022 12:00:00 AM
2000	4000	"PURCHASE"	"Serial No. 2000"	07-SEP-2022 12:00:00 AM	"DISPOSED"	09-SEP-2022 12:00:00 AM
2001	4001	"PURCHASE"	"Serial No. 2001"	07-SEP-2022 12:00:00 AM	"INUSE   "	09-SEP-2022 12:00:00 AM
2002	4003	"PURCHASE"	"Serial No. 2002"	07-SEP-2022 12:00:00 AM	"UNAVAIL "	09-SEP-2022 12:00:00 AM
3000	1606	"PURCHASE"	"Serial No. 6710941256"	08-AUG-2022 09:12:15 AM	"DISPOSED"	15-AUG-2022 11:12:15 AM
3001	1606	"PURCHASE"	"Serial No. 6718564738"	08-AUG-2022 09:12:15 AM	"INUSE   "	08-AUG-2022 09:12:15 AM
3002	1606	"PURCHASE"	"Serial No. 6719252353"	08-AUG-2022 09:12:15 AM	"UNAVAIL "	08-AUG-2022 09:12:15 AM
400	197	"PURCHASE"	"Serial No. 0111"	01-AUG-2021 12:00:00 AM	"INUSE   "	01-AUG-2021 12:00:00 AM
1004	742	"PURCHASE"	"Serial No. 146987888"	24-JUN-2022 05:04:36 PM	"INUSE   "	24-JUN-2022 05:04:42 PM
529	61	"PURCHASE"	"Serial No. 142456380"	01-MAR-2023 11:20:22 AM	"INUSE   "	03-MAR-2023 02:30:53 PM
530	175	"PURCHASE"	"No Serial Number for Mac OS"	01-MAR-2023 11:21:42 AM	"INUSE   "	03-MAR-2023 02:32:42 PM
531	61	"PURCHASE"	"Serial No. 142456385"	01-MAR-2023 11:36:14 AM	"DISPOSED"	08-MAR-2023 08:14:58 PM
401	197	"PURCHASE"	"Serial No. 0112"	01-AUG-2021 12:00:00 AM	"DISPOSED"	07-AUG-2021 12:00:00 AM
404	124	"PURCHASE"	"License Key: M7T05-MC28J-S8G1B-XA423-R83Z2"	12-MAR-2022 11:57:51 AM	"INUSE   "	14-MAR-2022 01:21:27 PM
850	786	"PURCHASE"	"Serial No. 883888831"	09-SEP-2022 09:05:22 AM	"INUSE   "	10-SEP-2022 04:03:53 PM
851	786	"PURCHASE"	"Serial No. 883888832"	09-SEP-2022 09:26:28 AM	"INUSE   "	10-SEP-2022 04:06:15 PM
852	786	"PURCHASE"	"Serial No. 883888833"	09-SEP-2022 09:45:38 AM	"INREPAIR"	20-SEP-2022 02:29:22 PM
660	444	"PURCHASE"	"Serial No. 4545111"	05-AUG-2022 10:30:00 AM	"DISPOSED"	22-AUG-2022 10:30:00 AM
148	14	"PURCHASE"	"Serial No. 191032748594"	16-MAY-2022 08:20:09 AM	"INUSE   "	20-MAY-2022 11:39:15 AM
149	14	"PURCHASE"	"Serial No. 191132548894"	16-MAY-2022 08:22:10 AM	"AVAIL   "	18-MAY-2022 11:37:02 AM
150	14	"PURCHASE"	"Serial No. 192232578874"	16-MAY-2022 08:24:11 AM	"DISPOSED"	23-MAY-2022 03:53:39 PM
206	119	"PURCHASE"	"Serial No. 167931690"	15-MAY-2022 07:01:00 AM	"INUSE   "	06-JUN-2022 01:23:39 PM
207	119	"PURCHASE"	"Serial No. 161509742"	15-MAY-2022 07:04:30 AM	"AVAIL   "	15-MAY-2022 07:53:25 AM
208	119	"PURCHASE"	"Serial No. 151588690"	15-MAY-2022 07:06:25 AM	"DISPOSED"	06-JUN-2022 03:26:44 PM
231	118	"PURCHASE"	"Serial No. 23382420"	24-AUG-2022 09:34:10 AM	"INUSE   "	28-AUG-2022 09:37:09 AM
232	118	"PURCHASE"	"Serial No. 23382430"	24-AUG-2022 09:35:12 AM	"AVAIL   "	26-AUG-2022 09:42:19 AM
235	112	"PURCHASE"	"Serial No. W88401231AX"	06-SEP-2022 10:21:46 AM	"INUSE   "	06-SEP-2022 12:20:38 PM
236	112	"PURCHASE"	"Serial No. W88401233AZ"	06-SEP-2022 10:24:06 AM	"AVAIL   "	06-SEP-2022 12:14:48 PM
237	112	"PURCHASE"	"Serial No. W88401232AY"	06-SEP-2022 10:27:07 AM	"DISPOSED"	09-SEP-2022 08:55:23 AM
250	171	"PURCHASE"	"Serial No. 031101113"	01-JUL-2022 09:02:08 AM	"UNAVAIL "	01-JUL-2022 09:02:08 AM
251	172	"PURCHASE"	"Serial No. 031101113"	01-JUL-2022 09:02:08 AM	"UNAVAIL "	01-JUL-2022 09:02:08 AM
252	173	"PURCHASE"	"Serial No. 031101113"	01-JUL-2022 09:02:08 AM	"UNAVAIL "	01-JUL-2022 09:02:08 AM
6954	6245	"PURCHASE"	"Serial No.5F45GH2"	09-SEP-2022 12:00:00 AM	"UNAVAIL "	09-SEP-2022 12:00:00 AM
6955	6245	"PURCHASE"	"Serial No.6G85RN9"	09-SEP-2022 12:00:00 AM	"UNAVAIL "	09-SEP-2022 12:00:00 AM
6959	6245	"PURCHASE"	"Serial No.3T21TJ1"	09-SEP-2022 12:00:00 AM	"DISPOSED"	09-SEP-2022 12:00:00 AM
365	141	"PURCHASE"	"Serial No. 123893454376"	06-JUL-2022 08:14:22 AM	"DISPOSED"	06-JUL-2022 08:54:32 AM
369	143	"PURCHASE"	"Serial No. 123893458"	06-JUL-2022 08:14:22 AM	"INUSE   "	06-JUL-2022 08:54:32 AM
370	141	"PURCHASE"	"Serial No. 123893454376"	06-JUL-2022 08:14:22 AM	"DISPOSED"	06-JUL-2022 08:54:32 AM
388	141	"PURCHASE"	"Serial No. 123893454376"	06-JUL-2022 08:14:22 AM	"DISPOSED"	06-JUL-2022 08:54:32 AM
389	142	"PURCHASE"	"Serial No. 1238934689"	06-JUL-2022 08:14:22 AM	"UNAVAIL "	06-JUL-2022 08:54:32 AM
302	245	"PURCHASE"	"Serial No. 0046"	01-SEP-2022 12:00:00 AM	"INUSE   "	01-SEP-2022 12:00:00 AM
303	245	"PURCHASE"	"Serial No. 0047"	01-SEP-2022 12:00:00 AM	"DISPOSED"	08-SEP-2022 12:00:00 AM
299	245	"PURCHASE"	"Serial No. 0045"	01-SEP-2022 12:00:00 AM	"UNAVAIL "	01-SEP-2022 12:00:00 AM
409	218	"PURCHASE"	"Serial No. 25637490"	04-SEP-2022 09:00:00 AM	"INUSE   "	04-SEP-2022 09:00:04 AM
1405	1501	"PURCHASE"	"Serial No. 654213"	06-SEP-2022 10:25:53 AM	"INUSE   "	06-SEP-2022 10:26:05 AM
1406	1503	"PURCHASE"	"Serial No. 654213"	06-SEP-2022 10:25:53 AM	"UNAVAIL "	06-SEP-2022 10:26:05 AM
1407	1504	"PURCHASE"	"Serial No. 654213"	06-SEP-2022 10:25:53 AM	"UNAVAIL "	06-SEP-2022 10:26:05 AM
489	258	"PURCHASE"	"Serial No. 19872748"	01-SEP-2022 12:00:00 AM	"INUSE   "	01-SEP-2022 12:00:00 AM
490	258	"PURCHASE"	"Serial No. 14598344"	01-SEP-2022 12:00:00 AM	"INUSE   "	01-SEP-2022 12:00:00 AM
491	258	"PURCHASE"	"Serial No. 39298765"	01-SEP-2022 12:00:00 AM	"UNAVAIL "	01-SEP-2022 12:00:00 AM
526	281	"PURCHASE"	"Serial No. 70537273"	15-AUG-2022 09:00:00 AM	"DISPOSED"	15-AUG-2022 09:00:00 AM
528	283	"PURCHASE"	"Serial No. 70537275"	15-AUG-2022 09:00:00 AM	"UNAVAIL "	18-AUG-2022 09:00:00 AM
115	19	"PURCHASE"	"Serial No. 11110"	09-SEP-2022 10:20:45 AM	"DISPOSED"	10-SEP-2022 10:41:16 AM
116	19	"PURCHASE"	"Serial No. 11111"	09-SEP-2022 11:20:22 AM	"INUSE   "	09-SEP-2022 11:06:58 AM
117	19	"PURCHASE"	"Serial No. 11112"	09-SEP-2022 12:19:47 PM	"INUSE   "	09-SEP-2022 12:39:53 PM
209	4563	"PURCHASE"	"Serial No. 99667831"	14-MAR-2022 12:00:00 AM	"INUSE   "	14-MAR-2022 12:00:00 AM
661	444	"PURCHASE"	"Serial No. 4545222"	05-AUG-2022 10:30:00 AM	"INUSE   "	05-AUG-2022 10:30:00 AM
210	4564	"PURCHASE"	"Serial No. 99667832"	14-MAR-2022 12:00:00 AM	"INUSE   "	14-MAR-2022 12:00:00 AM
211	4565	"PURCHASE"	"Serial No. 99667833"	14-MAR-2022 12:00:00 AM	"DISPOSED"	14-MAR-2022 12:00:00 AM
596	322	"PURCHASE"	"Serial # DC12345FLS6"	09-SEP-2022 08:00:00 AM	"INUSE   "	09-SEP-2022 08:00:00 AM
597	322	"PURCHASE"	"Serial # DC12345PDS5"	09-SEP-2022 08:00:00 AM	"INUSE   "	09-SEP-2022 08:00:00 AM
598	322	"PURCHASE"	"Serial # DC12345AQR2"	09-SEP-2022 08:00:00 AM	"INREPAIR"	09-SEP-2022 08:00:00 AM
418	242	"PURCHASE"	"Serial No. 1842633"	09-AUG-2022 12:00:00 AM	"DISPOSED"	09-AUG-2022 12:00:00 AM
416	134	"PURCHASE"	"Serial No. 1842678"	08-AUG-2022 12:00:00 AM	"INUSE   "	08-AUG-2022 12:00:00 AM
417	179	"PURCHASE"	"Serial No. 1842646"	08-AUG-2022 12:00:00 AM	"AVAIL   "	08-AUG-2022 12:00:00 AM
607	327	"PURCHASE"	"Serial No. 1234512345"	11-SEP-2022 11:59:59 PM	"INUSE   "	11-SEP-2022 11:59:59 PM
608	327	"PURCHASE"	"Serial No. 1234612346"	11-SEP-2022 11:59:59 PM	"DISPOSED"	11-SEP-2022 11:59:59 PM
609	327	"PURCHASE"	"Serial No. 1234712347"	11-SEP-2022 11:59:59 PM	"AVAIL   "	11-SEP-2022 11:59:59 PM
9001	570	"PURCHASE"	"1122334455"	09-SEP-2021 12:00:00 AM	"DISPOSED"	01-SEP-2023 10:32:57 AM
9002	571	"PURCHASE"	"1234512345"	09-SEP-2021 12:00:00 AM	"UNAVAIL "	01-SEP-2023 10:32:09 AM
9003	572	"PURCHASE"	"2468024680"	09-SEP-2021 12:00:00 AM	"UNAVAIL "	01-SEP-2023 10:31:11 AM
9004	573	"PURCHASE"	"1111122222"	09-SEP-2021 12:00:00 AM	"INREPAIR"	09-SEP-2021 12:00:00 AM
9005	574	"PURCHASE"	"2222233333"	09-SEP-2021 12:00:00 AM	"UNAVAIL "	01-SEP-2023 10:31:11 AM
642	335	"PURCHASE"	"Serial No. 1448374483"	22-AUG-2022 12:33:03 PM	"UNAVAIL "	22-AUG-2022 12:33:19 PM
643	335	"PURCHASE"	"Serial No. 1448374413"	22-AUG-2022 12:33:03 PM	"UNAVAIL "	22-AUG-2022 12:33:19 PM
644	335	"PURCHASE"	"Serial No. 1456374488"	22-AUG-2022 12:33:03 PM	"UNAVAIL "	22-AUG-2022 12:33:19 PM
3005	343	"PURCHASE"	"Serial No. 543"	03-JUN-2022 12:00:00 AM	"INREPAIR"	15-JUN-2022 12:00:00 AM
3006	344	"PURCHASE"	"Serial No. 544"	03-JUN-2022 12:00:00 AM	"DISPOSED"	15-JUN-2022 12:00:00 AM
3007	345	"PURCHASE"	"Serial No. 545"	03-JUN-2022 12:00:00 AM	"UNAVAIL "	15-JUN-2022 12:00:00 AM
645	335	"PURCHASE"	"Serial No. 1448374483"	22-AUG-2022 12:33:03 PM	"UNAVAIL "	22-AUG-2022 12:33:19 PM
646	335	"PURCHASE"	"Serial No. 1448374413"	22-AUG-2022 12:33:03 PM	"INUSE   "	22-AUG-2022 12:33:19 PM
647	335	"PURCHASE"	"Serial No. 1456374488"	22-AUG-2022 12:33:03 PM	"UNAVAIL "	22-AUG-2022 12:33:19 PM
648	335	"PURCHASE"	"Serial No. 1448374483"	22-AUG-2022 12:33:03 PM	"UNAVAIL "	22-AUG-2022 12:33:19 PM
649	335	"PURCHASE"	"Serial No. 1448374413"	22-AUG-2022 12:33:03 PM	"UNAVAIL "	22-AUG-2022 12:33:19 PM
650	335	"PURCHASE"	"Serial No. 1456374488"	22-AUG-2022 12:33:03 PM	"UNAVAIL "	22-AUG-2022 12:33:19 PM
654	347	"PURCHASE"	"Serial No. SM123456789"	09-SEP-2022 10:00:48 AM	"INUSE   "	16-SEP-2022 11:50:27 AM
655	347	"PURCHASE"	"Serial No. SM987654321"	09-SEP-2022 11:18:34 AM	"DISPOSED"	30-NOV-2022 04:38:39 PM
656	347	"PURCHASE"	"Serial No. SM987654322"	09-SEP-2022 12:04:39 PM	"AVAIL   "	14-SEP-2022 09:43:11 AM
657	349	"PURCHASE"	"Serial No. 121433699"	27-AUG-2022 09:02:09 AM	"UNAVAIL "	27-AUG-2022 09:02:11 PM
658	349	"PURCHASE"	"Serial No. 121433699"	27-AUG-2022 09:03:09 AM	"UNAVAIL "	27-AUG-2022 09:04:11 PM
659	349	"PURCHASE"	"Serial No. 121433699"	27-AUG-2022 09:02:09 AM	"UNAVAIL "	27-AUG-2022 09:02:11 PM
57	100	"PURCHASE"	"Serial No. 1999190-1"	20-AUG-2022 11:17:48 AM	"INUSE   "	20-AUG-2022 03:29:01 PM
58	100	"PURCHASE"	"Serial No. 1999192-2 "	20-AUG-2022 11:18:56 AM	"DISPOSED"	25-AUG-2022 11:32:09 AM
59	100	"PURCHASE"	"Serial No. 1992011-3 "	20-AUG-2022 11:25:44 AM	"AVAIL   "	20-AUG-2022 03:25:41 PM
671	361	"PURCHASE"	"Serial No. 141433690"	27-JUL-2022 09:02:08 AM	"INUSE   "	27-JUL-2022 09:02:13 AM
679	360	"PURCHASE"	"Serial No. 221255690"	02-SEP-2022 09:23:03 AM	"INUSE   "	02-SEP-2022 09:23:03 AM
61	21	"PURCHASE"	"Serial No. 141433690"	27-JUL-2022 09:02:08 AM	"DISPOSED"	03-AUG-2022 12:25:29 PM
165	105	"PURCHASE"	"Dell Service Tag No. JRL3848"	23-AUG-2022 06:20:00 AM	"INUSE   "	30-AUG-2022 11:34:08 AM
166	105	"PURCHASE"	"Dell Service Tag No. JRL3849"	23-AUG-2022 06:26:16 AM	"DISPOSED"	07-SEP-2022 12:05:24 PM
167	105	"PURCHASE"	"Dell Service Tag No. JRL3850"	23-AUG-2022 06:29:35 AM	"AVAIL   "	30-AUG-2022 06:29:35 AM
168	110	"PURCHASE"	"Serial No. 2134312222"	01-SEP-2022 10:30:23 AM	"DISPOSED"	06-SEP-2022 12:41:45 PM
169	110	"PURCHASE"	"Serial No. 2134312223"	01-SEP-2022 10:32:25 AM	"INUSE   "	01-SEP-2022 08:01:09 PM
170	110	"PURCHASE"	"Serial No. 2134312224"	01-SEP-2022 10:33:13 AM	"AVAIL   "	01-SEP-2022 11:33:13 AM
197	1483	"PURCHASE"	"Serial No. 5638396"	03-SEP-2022 12:00:00 AM	"INUSE   "	04-SEP-2022 12:00:00 AM
198	1483	"PURCHASE"	"Serial No. 5638395"	03-SEP-2022 12:00:00 AM	"UNAVAIL "	04-SEP-2022 12:00:00 AM
213	1484	"PURCHASE"	"License Key: 2ORL3-G6H4J-H5F3D-89DBB"	03-SEP-2022 12:00:00 AM	"DISPOSED"	07-SEP-2022 12:00:00 AM
214	1484	"PURCHASE"	"License Key: 2ORL3-G6H4J-H5F3D-88BCC"	03-SEP-2022 12:00:00 AM	"INUSE   "	04-SEP-2022 12:00:00 AM
222	130	"PURCHASE"	"Serial No. 1087737101"	06-SEP-2022 10:06:09 AM	"INUSE   "	08-SEP-2022 08:53:15 AM
111	701	"PURCHASE"	"Serial No. ADSF76837"	14-AUG-2022 12:47:04 AM	"INUSE   "	14-AUG-2022 12:47:15 AM
845	745	"PURCHASE"	"LG Serial No. KLS7897"	14-DEC-2019 08:00:04 AM	"DISPOSED"	06-SEP-2022 12:51:04 AM
846	745	"PURCHASE"	"LG Serial No. KLS7898"	14-DEC-2019 08:45:04 AM	"UNAVAIL "	14-DEC-2022 09:00:15 AM
847	745	"PURCHASE"	"LG Serial No. KLS7899"	14-DEC-2019 09:15:04 AM	"DISPOSED"	14-DEC-2022 09:45:15 AM
112	701	"PURCHASE"	"Serial No. HGFS45786"	15-AUG-2022 01:17:03 AM	"DISPOSED"	15-AUG-2022 01:17:16 AM
113	701	"PURCHASE"	"Serial No. DEFG76512 "	16-AUG-2022 05:23:50 AM	"UNAVAIL "	16-AUG-2022 05:24:04 AM
254	161	"PURCHASE"	"Serial No. 123AWFBH90"	14-AUG-2022 07:34:22 AM	"UNAVAIL "	14-AUG-2022 07:34:22 AM
255	161	"PURCHASE"	"Serial No. 123AWFVFD34"	14-AUG-2022 07:34:22 AM	"DISPOSED"	14-AUG-2022 07:34:22 AM
256	161	"PURCHASE"	"Serial No. 123AWIORFH90"	14-AUG-2022 07:34:22 AM	"UNAVAIL "	14-AUG-2022 07:34:22 AM
274	187	"PURCHASE"	"Serial No. 12145239"	03-AUG-2022 12:00:00 AM	"INUSE   "	03-SEP-2022 11:02:54 AM
275	187	"PURCHASE"	"Serial No. 12145352"	03-SEP-2022 10:04:01 AM	"DISPOSED"	03-SEP-2022 11:05:22 AM
276	187	"PURCHASE"	"Serial No. 12146391"	03-SEP-2022 10:04:01 AM	"UNAVAIL "	03-SEP-2022 11:10:12 AM
280	195	"PURCHASE"	"Serial No. 890352539"	01-SEP-2022 01:28:57 AM	"DISPOSED"	01-SEP-2022 01:30:58 AM
278	195	"PURCHASE"	"Serial No. 890352535"	01-SEP-2022 01:24:45 AM	"AVAIL   "	01-SEP-2022 01:24:51 AM
279	195	"PURCHASE"	"Serial No. 890352537"	01-SEP-2022 01:25:56 AM	"INUSE   "	01-SEP-2022 01:27:51 AM
315	15	"PURCHASE"	"Serial No. 891264221"	01-SEP-2022 06:00:00 AM	"UNAVAIL "	02-SEP-2022 06:00:00 AM
317	15	"PURCHASE"	"Serial No. 854361290"	01-SEP-2022 06:00:00 AM	"UNAVAIL "	02-SEP-2022 06:00:00 AM
